,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
3448,RIBEIRA - BALSA ,81170000,1,7160.0,81,RIBEIRA,SÃO PAULO,DAEE-SP,-24.6333,-49.0,1971/12/10,1983/06/30,13,0.0,11,15.4,POINT (-5454655.048870405 -2830770.562545643)
3449,CAPELA DA RIBEIRA,81200000,1,7360.0,81,RIBEIRA,SÃO PAULO,ANA,-24.6556,-48.9997,1936/10/20,2010/12/31,75,0.2,72,4.0,POINT (-5454621.653023167 -2833501.764520114)
3450,RIBEIRA ,81205000,1,7350.0,81,RIBEIRA,SÃO PAULO,DAEE-SP,-24.6564,-49.0031,1962/03/01,1998/01/31,37,2.8,31,16.2,POINT (-5455000.139291865 -2833599.7539234045)
3462,ANDORINHAS,81330000,1,3140.0,81,IPORANGA,SÃO PAULO,DAEE-SP,-24.6728,-48.5792,1969/08/01,1998/02/28,30,3.4,22,26.7,POINT (-5407811.807144595 -2835608.675133674)
3463,CÓRREGO COMPRIDO,81335000,1,2930.0,81,BARRA DO TURVO,SÃO PAULO,ANA,-24.7586,-48.5086,1976/09/24,2010/12/31,35,3.0,27,22.9,POINT (-5399952.65109459 -2846123.074564655)
3464,PASSAGEM DO MEIO ,81345000,1,176.0,81,IPORANGA,SÃO PAULO,DAEE-SP,-24.5833,-48.6333,1972/01/21,1983/01/31,12,0.0,10,16.7,POINT (-5413834.191596511 -2824648.561922402)
3465,IPORANGA,81350000,1,12500.0,81,IPORANGA,SÃO PAULO,ANA,-24.5864,-48.5922,1941/11/01,2007/12/31,67,0.0,66,1.5,POINT (-5409258.960524908 -2825028.054838104)
3466,ELDORADO,81380000,1,14700.0,81,ELDORADO,SÃO PAULO,ANA,-24.5197,-48.1056,1938/10/12,2017/12/31,80,4.4,70,12.5,POINT (-5355090.896304902 -2816864.9072398664)
3467,SÍTIO ALAMBARI,81400000,1,347.0,81,SETE BARRAS,SÃO PAULO,DAEE-SP,-24.3872,-48.0097,1971/04/06,1977/05/31,7,1.3,5,28.6,POINT (-5344415.357137826 -2800661.5991087933)
3468,SETE BARRAS,81420000,1,15300.0,81,SETE BARRAS,SÃO PAULO,ANA,-24.3925,-47.925,2004/01/01,2017/12/31,14,28.6,6,57.1,POINT (-5334986.596267635 -2801309.4046295853)
